Title,Body,Post date,Updated date
"מלגות ניתנות לתכנית ההדרכה החדשה שתיפתח באפריל 2015 בסין מטעם מרכז ההדרכה הבין-לאומי של איקו""ם","ICOM International Training Centre (ICOM-ITC) is announcing its next training programme that will be held from 13 to 21 April, 2015 in Beijing. ICOM, ICOM China and the Palace Museum are pleased to award travel grants to international participants attending the training seminar.  Please refer to ICOM website for the types of grant available and the applicable criteria: http://icom.museum/activities/icom-international-training-centre-for-museum-studies/applicable-criteria-for-the-awarding-of-icom-itc-travel-grants/ Full applications with the application form as well as other documents are expected by Friday 20 February, 2015. Contact: Ms. Yu Zhang (yu.zhang@icom.museum) at ICOM Secretariat.  The fourth workshop will be dedicated to Exhibitions in Museums. A number of outstanding international experts will give lectures and conduct discussions on exhibition-related topics such as Exhibition Development Process, Understanding Visitors, Exhibitions Usability and Accessibility, Evaluating Exhibitions, Practical Questions about Designing an Exhibition. Several Chinese experts will also showcase exhibition projects from their museums. A “Reading Artifacts” session, developed by the Canadian Science and Technology Museum, will be part of the programme, with access to objects from the Palace Museum’s vast collection. In addition, hands-on sessions will be organised in some of the most well-known museums in Beijing; and a full-day excursion will show participants around the best known cultural heritage sites in and around Beijing.  Officially launched on 1 July 2013, ICOM-ITC relies on the ICOM professional network to offer quality training programmes in museum studies to regional and international museum professionals, especially to ICOM members from emerging countries and from the Asian Pacific region. More info on ICOM-ITC: http://icom.museum/activities/icom-international-training-centre-for-museum-studies/  Sincerely, ICOM Secretariat",19/01/2015 - 11:38,19/01/2015 - 11:43
"ידיעון איקו""ם - דצמבר 2014 - ינואר 2015","The         International         Council of Museums (ICOM) is the only international         organisation representing museums and museum professionals.








View this email in your         browser







































  E-newsletter December 2014 -         January 2015",21/01/2015 - 12:07,21/01/2015 - 12:07
"קמוק CAMOC הוועדה מטעם איקו""ם למוזאוני ערים חוגגת עשור במוסקווה, אפריל 2015","CAMOC, ICOM’s International Committee for the Collections and Activities of Museums of Cities was born in Moscow in April 2005 and it is to Moscow we are returning for our tenth anniversary. CAMOC, in collaboration with the Museum of Moscow, is hosting an international conference “Memory and Migration”, a conference on city museums, migrant memory and migrant identity. From the 12th century onwards the capital of Russian has united people of different cultures and histories to create a vast, dynamic and diverse world city.
 
*Memory and Migration *
 
Migrants created cities and they continue to give cities shape and meaning.
We, and our parents, may have been born and brought up in the city, but we are all in one way or another the children of migrants, migrants from the rural hinterland or from another country, who found the lure of the city irresistible.
 
Migrants bring memories of their past, their culture and their habits with them. How do they preserve them in another environment, how do they maintain their identity? They may prefer to be absorbed into their new home, but they still bring a former life with them, and diversity and difference give a city its own unique character. In any event, no city museum can be indifferent to the impact of migration. All this will be at the heart of our conference.
 
Migration is a vital part of urban history and a subject that touches many different points of heritage, legacy and human rights across the world.
Histories of migration are collected and interpreted in many museums and city museums all around the world. Thanks to the flow of migration, cities are continuously changing. And of course social media now have the power to accelerate this change and to create new ‘places’ for discussion on the city.
 
City museums preserve and disseminate a city’s memory, yet at the same time migration continually redefines a city’s heritage and narrative. With this in mind, these are the sessions and themes we are proposing:
 
*Migration and city museums *
 
In this session the focus will be on the role of migrants from the hinterland, near or far, or from another country in giving shape to the unique characteristics of the city throughout its history.
 
* City museums as places of debate and social involvement in the changing
city*
 
How are city museums dealing with migration and memory? What are the issues and the challenges for city museums? What is the potential for city museum involvement? What is the role of migration in the creation, history, culture and development of a city.
 
*City museum as a Memory Centre and a Place of Inclusion *
 
What is memory? Who’s memory does city museum represent? Every place in our cities has both collective and individual memory and each develops different narratives. What is cultural exclusion and who is excluded? Is it possible to escape exclusion and what is to be done? This session will focus on different ways of working with memory.
 
*City Museums – 10 years together *
 
A number of presentations on exciting and original projects in city museums. Does your museum have a project that it is really proud of? Do you think it can be inspiring and interesting for the CAMOC community? Is the topic something many museums around the world are faced with? It is time to present this project to us, sharing efforts, challenges, weaknesses and strengths with colleagues.
 
Our detailed programme, including a full range of receptions and excursions in the city, is now being drawn up, but in the meantime we are inviting you to take an active part in the work of our conference.
 
*To submit a proposal for a presentation:*
 
Please send us an abstract of no more than 350 words, as well as a short biography, to camoc2015conference@gmail.com (contact person Layla Betti, member of the CAMOC’s Executive Board)
 
Abstracts should include the following:
 
Paper title
 
Name and institution of the author (with ICOM membership number for ICOM
members)
 
Email address
 
Any special technical requirements (for example a Mac or PC for accompanying images, video)
 
As the majority of participants will not be native English speakers, we encourage the use of visual material wherever possible. A short 2-5-minute film or video about a museum in relation to migration would also be welcome.
 
Deadline for submission of proposals: 30th of April 2015
 
Announcement of approved proposals: 30th of May 2015
 
*Registration*
 
Further details about registration and payment methods will be available from 1st April 2015.
 
Conference fee
 
For ICOM members: EUR 150
 
For non-ICOM members: EUR 180 For students: EUR 80
 
For accompanying person: EUR 40
 
Contact person in Russia: Please email Irina Smagina Member of CAMOC’s Executive Board (i.smagina@mosmuseum.ru ) and Polina Zhurakovskaya (
p.zhurakovskaya@mosmuseum.ru) at the Moscow Museum for further information about visa requirements and all practical matters.
 
You can download the preliminary conference details through the following
link:
 
http://network.icom.museum/fileadmin/user_upload/minisites/camoc/PDF/Conferences/CallForProposalsMoscowConference2015.pdf
 
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
 
Change ICOM-L subscription options, unsubscribe, and search the archives at:  http://home.ease.lsoft.com/archives/icom-l.html",26/02/2015 - 15:37,26/02/2015 - 15:37
"ידיעון איקו""ם - פברואר 2015","The International Council of Museums (ICOM) is the only international organisation representing museums and museum professionals.






View this email in your browser


























 







  E-newsletter  February 2015



























 


 



















Cincinnati and Kyoto bid to host ICOMâ€™s 25th General Conference in 2019
Both Cincinnati, US and Kyoto, Japan submitted proposals to be the meeting place for ICOMâ€™s 25th Triennial Conference 
Held  every three years, the General Conference brings together the  international museum community to discuss a theme chosen by museum  professionals. For each edition, some  3,000 museum experts and museum  professionals converge for an entire week to discuss and exchange ideas  around museum-related issues.
The bid for ICOMâ€™s 25th General Conference in 2019 was opened in October 2014. The result will be announced in  June 2015.
Read More


















































50 years later, a new recommendation for museums
 
ICOM  is currently working closely with UNESCO to draft a recommendation to  protect and promote museums and to encourage appreciation of their  diversity and their vital role in society. This joint commitment to  establish standards and principles that will assert the roles and  responsibilities of museums and their place in society first saw light  in 2012, during an international meeting of experts organised by UNESCO  in collaboration with ICOM and IBRAM in Rio de Janeiro, Brazil.
The  recommendation takes as its first principle that museums share a number  of missions, such as the dissemination of culture and education and  working towards justice, freedom and peace. They particularly contribute  to establishing a moral and intellectual solidarity among the public,  and to ensuring equal access to education for all.
Considering  the demographic, technological and environmental changes taking place  around the world that affect societies and their relationships with  nature, culture and heritage, this recommendation sets the protection  and promotion of cultural and natural diversity as a major challenge of  the 21st century. Museums, tasked with the role of protecting  the tangible and intangible heritage of human cultures, have become  increasingly popular institutions around the world, notably in the  second half of the 20th century. Given that museums are  spaces of cultural transmission, apprenticeship, discussion and  training, they play a key role in education, social cohesion and  sustainable development. Beyond their role in engaging and being  accessible to the entire public, they also contribute to economic  development, particularly through tourism and the cultural and creative  industries. In line with the professional standards disseminated by  ICOM, this recommendation will clarify the role of museums. It will also  highlight the importance of their protection and promotion, allowing  them to fully contribute to sustainable development and intercultural  dialogue, notably by safeguarding and educating the public about  cultural diversity and heritage.
An  intergovernmental expert meeting devoted to consideration of the draft  recommendation will be held in the UNESCO headquarters on 27 and 28 May,  2015. This meeting will conclude the recommendation project and will  submit it for discussion and possible adoption at the UNESCO General  Conference during its 38th session in september 2015. Since  1960, this is the only international and normative instrument that has  been completely devoted to museums. This tool has been long awaited by  the international museum community.
More information: http://en.unesco.org/events/intergovernmental-expert-meeting-draft-recommendation-protection-and-promotion-museums-and































Preparation for a new workshop at the ICOM-ITC Training Centre in Beijing
 
After the success of the first training workshops held at the Palace Museum in Beijing, China, the ICOM International Training Centre for Museum Studies (ICOM-ITC) has announced that its next workshop will take place from 13 to 21  April, 2015 in Beijing. ICOM-ITC is supported by ICOMâ€™s professional  network in providing a high-quality training programme for Chinese and  international museum professionals, especially ICOM members from  developing countries and the Asia-Pacific region. It officially opened  its doors on 1 July, 2013.
This fourth session of training workshops will be devoted to Exhibitions in museums.  Many internationally renowned experts will give lectures and discuss  exhibition-related issues such as ""the process of creation of an  exhibition"", ""understanding the audience needs"", ""Exhibitions: practice  and accessibility"", ""Evaluating an exhibition"", ""Specific aspects of the  conception of an exhibition"". Chinese experts will also exhibit  projects created in their museums. A session called ""Reading artifacts"",  developed by the Canada Science and Technology Museum, will offer  participants access to objects in the Palace Museumâ€™s collection.  Practical sessions will be celebrated in some of the most renowned  museums in Beijing and an excursion day will enable participants to  visit the most celebrated cultural heritage sites in Beijing and its  surrounding area.
More Information
Photo:  Â© Palace Museum































New publications within the ICOM network
ICOM National and International Committees kicked off the New Year by issuing new publications on a variety of topics.
ICME, the International Committee for Museums and Collections of Ethnography, has recently published a new title called Dissolving boundaries: Museological approaches to national, social and cultural issues.  The publication, written in English and German, gathers a series of  articles presented during the committeeâ€™s 2011 Annual Conference, held  in the Monastery of Banz, Germany. Boundaries represent a challenging  topic for museums, whether they be geographical, political, social and  cultural. The publication collects insights and experiences from all  over the world, raising many questions and addressing recurring topics  in museums and ethnography.
More information and access to the publication: http://icom.museum/resources/publications-database/publication/dissolving-boundaries-museological-approaches-to-national-social-and-cultural-issues/ 
CECA, the International Committee for Education and Cultural Action,  has published the conference proceedings of its 2013 Annual Conference  in Rio de Janeiro, Brazil. It was held at the time of the 23rd ICOM General Conference, for which the theme was: Museums (memory + creativity) = social change.
The publication can be consulted here: http://network.icom.museum/ceca/publications/conference-proceedings/
Finally, two ICOM Committees have issued their first newsletters of 2015. CAMOC, the International Committee for the Collections and Activities of Museums of Cities,  notably published a collaborative reflection about the urban network of  the city of Trento, Italy, encouraging its readers and members to think  about a redefinition of the concept of the â€˜museum of the cityâ€™.  Also, ICOM Portugal devoted its latest newsletter to the need for museum  professionals and museums themselves to develop their networks and  share their resources.
The two newsletters can be read via the following links:
CAMOC/January 2015 (in English): http://network.icom.museum/fileadmin/user_upload/minisites/camoc/PDF /Newsletters/CAMOC_Newsletter_2015_01.pdf  ICOM Portugal (in Portuguese): http://icom.museum/resources/publications-database /publication/boletim-icom-portugal-serie-iii-n-2-jan-2015/































The printed edition of ICOM News is back!
We have heard you: in 2015, ICOM will resume printing and distributing ICOM News to all ICOM members. In order to receive the three issues of 2015 on  time, we invite all ICOM members to update their contact details via  this online form
The  PDF version will continue to be circulated through ICOMMUNITY (access  reserved to ICOM members) and a flipbook version will be available on  our website: http://icom.museum/media/icom-news-magazine/  If you are not an ICOM member, you can subscribe to the paper edition by filling out this order form and sending it to the ICOM Secretariat or publications@icom.museum
In consideration for the environment, please write to publications@icom.museum if you do not wish to receive the paper edition.
Interested in advertising in ICOM News? Check out the publicationâ€™s media kit for rates and specifications. 































MUSEUM INTERNATIONAL CALL FOR PAPERS                                Vol. 67 No. 267-268 - Museums, heritage and capacity building 
ICOM is preparing a double issue of Museum International on the theme Museums, heritage and capacity building.  The issue will be prepared under the direction of the Editorial Board  with Prof. Dr Tereza Scheiner as Editor in Chief. All proposals  submitted will be assessed for suitability and subsequent articles will  go through a peer review process. The issue is expected to be published,  in collaboration with Wiley Blackwell, by March 2016.
Professional  capacity building has been a fundamental aspect of the reflection  undertaken by the museum community since the 1940s. Recent changes in  the knowledge environment and the development of museology as a  discipline have given rise to a series of discussions on the topic on an  international level. The need to specify what exactly transforms a  â€˜museum workerâ€™ into a 'museum professional' led ICOM to define a  wide range of theoretical and practical competencies required, and to  outline the general profile that such professionals must have in  accordance with the organisationâ€™s high ethical standards.
ICOMâ€™s International Committee for the Training of Personnel (ICTOP), created in 1968, has worked to encourage exchange among  professional capacity building programmes. It has also helped ICOM to  define specific ethical standards for museum theory and practice, and to  develop a proactive approach towards the adoption of such standards. In  addition, The Basic Syllabus for the Training of Museum Personnel, formally adopted by ICOM in 1971, influenced the curriculum design of museum studies programmes in many countries.
Museum professionals must have a deep understanding of museum theory and practice and be adequately prepared to work not only in museums, but with museums and heritage, in order to ensure the development of museums and  the protection of world heritage at all levels. The transmission of  inter-generational knowledge and skills, and learning from peers are  vital elements of the learning process. University programmes in  museology and heritage in different regions and at different levels  embody such processes by providing theoretical and practical capacities  in the field.
To adapt to contemporary challenges, museum professionals must simultaneously:          a) recognise the new paradigms of thought that influence museums and the field of museology;  b) increase their ability to act in accordance with such paradigms,  developing discourses and practices that represent the values of  different groups in todayâ€™s society; and  c) develop new forms of connection between museums and society, paving the way for community participation.
These  developments require theoretical knowledge of museology and basic  museum functions, technical competence in applied museology, and an  ethical commitment to society.
To  accomplish the above, museum professionals must be prepared to  re-evaluate the concepts of Heritage and Museum, and to approach such  concepts critically when developing their work.
You  are all invited to contribute to this upcoming issue on the theme of  museums, heritage and capacity building. We hope you will take the  opportunity to offer new perspectives on and approaches to this  fundamental topic for the museum community.
Submission process: Abstracts of between 250 and 300 words, written in English, should be submitted for selection to publications@icom.museum Proposals in other languages unfortunately cannot be considered for publication.
Contributions will be on a voluntary basis.
The submission deadline is 30 April, 2015. 
The following information should be included with the abstract:
â€¢	Title of submitted paper
â€¢	Name(s) of author(s)
â€¢	Professional background

Further information:      For all queries on this Call for Papers, the submission process and guidelines, please contact AedÃ­n Mac Devitt at aedin.macdevitt@icom.museum































Hits of the month
Scoop it:



Scooped by  			ICOM Officiel  
 Arts & Culture: The Secret Weapon of U.S. Economic Growth 

 

Brendan Greeley: “Arts and culture contribute more to U.S. GDP than banking”. 



ICOM Officiel's insight:

Brendan Greeley : « Aux Etats-Unis, l’art et la culture sont des secteurs qui contribuent plus au PIB que la banque. »
 
""En Estados Unidos, el arte y la cultura son sectores que contribuyen al PIB más que la banca”, afirma Brendan Greeley.  


From  										www.bloomberg.com - February 4, 1:04 PM















































Copyright Â© 2015 ICOM, All rights reserved.
Unsubscribe     Archives





















Twitter









Website









Facebook









Scoop it",02/03/2015 - 11:26,02/03/2015 - 11:28
"AVICOM הוועדה לאודיו-ויז'ואל מטעם איקו""ם מארגנת את הפסטיבל השנתי FIAMP בגוואטמלה, נובמבר 2015","AVICOM
The Fiamp festival 2015 will be held from 3 to 7 November in La Antigua Guatemala, Guatemala, with the help of ICOM Guatemala.
 
THE FIAMP.2015 COMPETITION IS OPEN!
Museums and cultural institutions can as of now register their audio-visual and multimedia submissions for the festival competition.
Deadline of registration: Friday, 17 April. Do not delay.
Download the English registration forms here:
http://network.icom.museum/fileadmin/user_upload/minisites/avicom/PDF/FIAMP-2015/Ins_Comp_fiamp2015_form_ANG_V1.pdf
 
La Antigua, capital of the Captaincy-General of Guatemala, was founded in the early 16th century. The city has been registered since 1979 on the UNESCO World Heritage list.
This will be the setting for FIAMP.2015 next November.
http://network.icom.museum/avicom/fiamp-festival/fiamp-2015-in-guatemala/L/10/
 
Information:
Marie-Françoise DELVAL, Managing Director, <marie-francoise.delval@culture.gouv.fr>
Samuel FRANCO, Deputy director, in charge of the relations with Latin America, <safra@kojom.org>",08/03/2015 - 10:25,08/03/2015 - 10:25
"הכינוס השנתי של CIDOC הוועדה לתיעוד מטעם איקו""ם יתקיים בניו דלהי, ספטמבר 2015","CIDOC Annual Conference 2015New Delhi, India 5-10 September 2015 Documenting Diversity – Collections, Catalogues & Context CIDOC, the International Committee for Documentation of ICOM, is dedicated to the documentation of museum collections.
. The committee gathers curators, librarians and information specialists interested in documentation, registration, collections management and computerisation.
The annual conference 2014 invites your contributions on the following topics:  
   - Strategies and policies for documenting the diversity of culture
   - Techniques and methods of documentation
   - Access and Integration - working together with archives and other heritage institutions http://cidoc2015.in/callforpapers.htm
 
The extended deadline for submission of abstracts is 8th May 2015 Authors will be notified of acceptance not later than 8th June 2015 The deadline for the final paper is 5th August 2015
 --------------------- FR:
CIDOC Conférence annuelle 2015New Delhi, Inde 5-10 septembre 2015 Documentar la diversidad – Collecciones, Catálogos y Contexte
Le CIDOC, comité international dedocumentation de l'ICOM, se consacre à la documentation des collections de musées.Ce comité est constitué de personnels de musées et bibliothèques et despécialistes du traitement de l'information réunis par leur intérêt communenvers la documentation, l'enregistrement, la gestion des collections et letraitement numérique des données. La conférence annuelle de 2014 lance un appelà contributions sur les thèmes suivants :  
   - Stratégies et politiques, comment documenter la diversité de la culture?
   - Techniques et méthodes de documentation
   - Accès et intégration - la collaboration avec des archives et d'autres institutions patrimoiniaux http://cidoc2015.in/callforpapers.htm
 
La date limite prolongée pour la soumission de résumés est le 8 mai 2015 Notification des auteurs jusqu'au 8 juin 2015 La contribution intégrale devra être envoyée avant le 5 août 2015
 
--------------------- SP:
CIDOC Congreso anual 2015Nueva Delhi, India, India 5-10 septiembre 2015 Documenter la diversity – Collections, Catalogues & Contexte
CIDOC, el comité internacional de documentación de ICOM, está dirigido a la documentación de colecciones de museos. En el comité están representados los empleados de museos, bibliotecas y especialistas en el tratamiento de la información dirigida al interés común por la documentación, registro, gestión de colecciones y administración digital de datos. La conferencia anual 2014 convoca la presentación de ponencias de los siguientes temas:  
   - Estrategias y políticas para documentar la diversidad de cultura
   - Técnicas y métodos de documentación
   - Acceso e Integración -  colaborar con los archivos y otras instituciones patrimoniales http://cidoc2015.in/spanish/callforpaperss.htm
La fecha límite ampliada para la  presentación de resúmenes es el 8 de mayo de 2015 La información de admisión de la ponencia se comunicará como máximo el 8 de junio de 2015 El fecha límite de presentación de la totalidad de la ponencia es el 5 de agosto de 2015
 
 
Nicholas CROFTS
Chair ICOM CIDOC
 
 
 
 CIDOC 2015
 Documenting Diversity
5-10 Sept, New Delhi
http://cidoc2015.in/",12/04/2015 - 14:56,12/04/2015 - 14:56
"HANDS ON - עמותה בין-לאומית שמטרתה המרכזית להעצים ולהנגיש ביקור ילדים במוזאונים תקיים את כינוסה השנתי באמסטרדם, אוקטובר 2015","Have you heard about the Hands On! Conference?
 
Hands On! International Association of Children in Museums aims to make museums more accessible for children up to fourteen years old worldwide. The organization stresses the importance of education for children and aims to continuously improve the quality of informal learning for children in children’s museums, museums and science centers. Moreover Hands On! offers a platform for museum professionals that enables them to share and exchange their knowledge and experience.
 
This year the tenth international biennial Hands On! Conference will take place in Amsterdam, October 13-16. The conference usually attracts participants from over 25 countries worldwide. The Austrian headquarters have given the Rijksmuseum and the Jewish Historical Museum the opportunity to organize this biennial conference in The Netherlands. Since our country is well known for professional children’s education in museums, we are very pleased to be the main organizers of the conference. The National Maritime Museum, Science Center NEMO and the Dutch Museums Association act as our partners.
 
Please find the save the date card enclosed and note that early bird tickets are available until May 1st. Visit the website for more information about the conference, tickets and memberships.
 
We hope to welcome you in October.
Kind regards,
Annemies Broekgaarden
Head Public & Education
Rijksmuseum
Petra Katzenstein
Manager Development & Special Projects
Jewish Historical Museum
Museumstraat 1
Postbus 74888 
1070 DN Amsterdam 
Rijksmuseum.nl
Late Rembrandt meer dan 100 Rembrandts uit 35 collecties wereldwijd
12 februari – 17 mei 2015
Zeker zijn van een ticket? Boek nu online. Ook voor Museumkaarthouders.
__._,_.___",09/04/2015 - 08:09,09/04/2015 - 08:12
"הכינוס השנתי של ICR בשיתוף איקו""ם ישראל יתקיים בירושלים ובתל אביב, אוקטובר 2015 - Call for Papers","Welcome to the ICR 2015 Annual Conference to be held in Jerusalem and Tel Aviv, Israel, on October 19-23, 2015, and organized in cooperation with ICOM Israel. We invite presentations on the conference topic: 
 
“Regional Museums and the Forging of Identities in a Multicultural Society”
 
As the nations of the world progressively develop into multiethnic and multicultural societies, regional museums should reflect on the role they can play in this process. Whether or not their host nations are developed or developing countries, museums must consider how they can aid in satisfying their public’s needs and desires for multiple and varied identities.
 
The ICR Israel 2015 Conference will address this broad area in relation to the concerns and activities of regional museums through questions such as those suggested below:
•             How are viable identities forged in multiethnic/multicultural societies? 
•             What effect do tensions between traditional societies and the modern global society have on viable identities?
•             Should regional museums play an active part in relieving such tensions?
•             Do they do so already, and how?
•             How should museum narratives be organized in multiethnic/multicultural societies?
•             Which resources can best be utilized in such efforts? 
•             How can these processes reflect societal changes?
•             Should regional museums attempt to influence these processes or should they simply reflect them?
•             Can regional museums provide sufficient support for the forging of identities?
 
Presentations of Papers:
 
Presentations are limited to 15 minutes and must be delivered in English. Since no translation services will be provided, the presentation text must be easy for an international audience to follow. 
 
Deadline for Abstracts:
 
An abstract of 200-300 words, a short biographical note and contact details must be submitted to ICR Secretary Jean Aase at jeanaase@getmail.no by 15 May2015. All abstracts will be evaluated by ICR’s Selection Committee. The Committee will respond by 1 June 2015.
 
Abstracts must include the following:
•             Title
•             Name and affiliation of the author (including ICOM membership number for ICOM members)
•             Email address
•             Any special technological requirements (such as Mac/PC for accompanying images, video)
 
Authors of successful papers must submit a written version of their presentation in the form of a Word document with photos, tables and charts as separate attachments by 1 September 2015.
 
Registration information and further details about the conference and the exciting post-conference tour (to Haifa, Acre, Galilee, Tiberias, the Dead Sea, Qumran, Masada, Be’er Sheba, Ramla, Ashdod) will be posted on ICR’s website http://network.icom.museum/icr.
 
If you have any questions please email Jean Aase, ICR Secretary, at jeanaase@getmail.no.",16/04/2015 - 09:14,16/04/2015 - 09:20
"קול קורא למשלוח תקצירים לקראת הכינוס השנתי של ICR בשיתוף איקו""ם ישראל, אוקטובר 2015","Welcome to the ICR 2015 Annual Conference to be held in Jerusalem and Tel Aviv, Israel, on October 19-23, 2015, and organized in cooperation with ICOM Israel. We invite presentations on the conference topic: 
 
“Regional Museums and the Forging of Identities in a Multicultural Society”
 
As the nations of the world progressively develop into multiethnic and multicultural societies, regional museums should reflect on the role they can play in this process. Whether or not their host nations are developed or developing countries, museums must consider how they can aid in satisfying their public’s needs and desires for multiple and varied identities.
 
The ICR Israel 2015 Conference will address this broad area in relation to the concerns and activities of regional museums through questions such as those suggested below:
•             How are viable identities forged in multiethnic/multicultural societies? 
•             What effect do tensions between traditional societies and the modern global society have on viable identities?
•             Should regional museums play an active part in relieving such tensions?
•             Do they do so already, and how?
•             How should museum narratives be organized in multiethnic/multicultural societies?
•             Which resources can best be utilized in such efforts? 
•             How can these processes reflect societal changes?
•             Should regional museums attempt to influence these processes or should they simply reflect them?
•             Can regional museums provide sufficient support for the forging of identities?
 
Presentations of Papers:
 
Presentations are limited to 15 minutes and must be delivered in English. Since no translation services will be provided, the presentation text must be easy for an international audience to follow. 
 
Deadline for Abstracts:
 
An abstract of 200-300 words, a short biographical note and contact details must be submitted to ICR Secretary Jean Aase at jeanaase@getmail.no by 15 May2015. All abstracts will be evaluated by ICR’s Selection Committee. The Committee will respond by 1 June 2015.
 
Abstracts must include the following:
•             Title
•             Name and affiliation of the author (including ICOM membership number for ICOM members)
•             Email address
•             Any special technological requirements (such as Mac/PC for accompanying images, video)
 
Authors of successful papers must submit a written version of their presentation in the form of a Word document with photos, tables and charts as separate attachments by 1 September 2015.
 
Registration information and further details about the conference and the exciting post-conference tour (to Haifa, Acre, Galilee, Tiberias, the Dead Sea, Qumran, Masada, Be’er Sheba, Ramla, Ashdod) will be posted on ICR’s website http://network.icom.museum/icr.
 
If you have any questions please email Jean Aase, ICR Secretary, at jeanaase@getmail.no.",16/04/2015 - 09:19,29/04/2015 - 14:48
"הכינוס השנתי של איקמה יתקיים בהאנוי, וייטנאם, אוקטובר 2015","ICME 2015 Annual Conference, 25-26 October 2015, Hanoi-Vietnam
 
Museums and Communities: Diversity, Dialogue, Collaboration 
 
This conference addresses the contemporary museum’s concern with power, representation and affect. Specifically, conference considers the transformation of exhibition spaces from sites where knowledge is transmitted to passive audiences towards potential contact zones or forums where diverse community voices and visibilities are raised and new knowledge(s) actively constructed in on-going dialogue.
 
We are calling for papers to consider this broad theme from a number of angles as a major interest lies in the creativity of disciplinary and spatial border crossings. This conference raises a number of questions, which in one way or another have been vital considerations at ICME’s conferences over the years.
How can we reinterpret and reimagine historical collections, together with source communities to engage diverse new audiences? What new collaborative ways of working with material culture and the intangible heritage from which it emerges might enhance the social value of museums?
 
Is social media and technology helpful to museums intent on engaging diverse audiences? Can technological innovations contribute to more genuinely inclusive engagement? Does technology and interactivity detract from the aura of the real? Are traditional curatorial skills, knowledge and indeed posts put at risk by the ‘turn’ towards new media and audiences?
 
How might community perspectives and diverse new voices be integrated into curatorial practice in substantive ways? Can museums and communities partnerships promote genuine intercultural understanding in place of fearful stereotype? Is it possible that new collaborations might enable museum collections, often established in colonial times with all the ‘difficult histories’ of this heritage, be reemployed to progress a more positive future? What fresh collaborative relationships with artists, source communities and local communities may be seen to enhance understandings of ‘us’ and ‘them’ in the frontier zone of ‘both-and’ that lies beyond restrictive ‘either-or’ binary oppositions.
 
We warmly invite your contributions to the ICME annual conference, Museums and Communities: Diversity and Dialogue in Vietnam. Reflecting on what a museum is (and may be) in the twenty-first century, opens up the potential role for developing more cohesive communities, working with similarities – ties that bind humanity – while perceiving differences as strengths. Please join us!
 
Submissions should be sent as a WORD document attachment to:
 
vmg4@le.ac.uk
jenny.walklate@gmail.com
Paulina.VanderZee@ugent.be
ninh@dch.gov.vn
 mario.buletic@gmail.com
swackernagel@yahoo.de
earringm@si.edu
 
By June 14, 2015.
 
The following information should be included with the abstract:
 
Title of submitted paper
Name(s) of Author(s)
Affiliation(s) & full address (es)
Abstract in English (no more than 200 words)
Support equipment required
 
Conference information
Details of the ICME conference (Registration forms, registration fee information, hotels, and other details) will be available at the ICME web site at the end of April and in the next ICME Newsletters 73, 74 and 75: http://icme.icom.museum/
 
Conference Fee 
 
ICOM Members 100Euros
Youth members 50Euros
Non-ICOM members 150 Euros.
The conference fee will cover the printed programme, lunches and coffee breaks, the welcome and farewell party.
 
Registration and tour of Hanoi Museums 21 October
 
3 day Pre-conference tour 22-24 October in Ha Long bay and Trang An the UNESCO World Heritage Sites (see attached details). The post conference tour fee will be approximately 265 Euros, paying for the bus transport, hotel, meals, and museum admissions.
 
IMPORTANT: Please note that the dates of the tour and the conference have been reversed due to unavoidable organizational logistics!
 
For those who are not joining the pre-conference tour or the Hanoi Museum visit on 21st of October conference registration will be held at the conference venue, The National Museum Of Ethnology, on 25th October.  
 
All information and more about ICME on our website: http://icme.icom.museum/index.php
__._,_.___
View attachments on the web",19/04/2015 - 08:40,19/04/2015 - 08:40
